model,dimension,group,hit_rate,pval,n,flagged,flag_reason
logistic_base,year,2024,0.546485260770975,1.4357607340373789e-11,5292,False,
logistic_base,year,2025,0.5158095238095238,0.02276427772028878,5250,False,
logistic_base,year,2026,0.5110970196575777,0.3919071151742928,1577,False,
logistic_base,ticker,DBA,0.5948136142625607,2.8232087098593446e-06,617,False,
logistic_base,ticker,GLD,0.4376012965964344,0.0021904305216823685,617,True,hit_rate < 0.45
logistic_base,ticker,HYG,0.34521880064829824,1.2517012870832149e-14,617,True,hit_rate < 0.45
logistic_base,ticker,IEF,0.4392220421393841,0.002860795525950182,617,True,hit_rate < 0.45
logistic_base,ticker,IWM,0.5915721231766613,6.158749821079527e-06,617,False,
logistic_base,ticker,LQD,0.4392220421393841,0.002860795525950182,617,True,hit_rate < 0.45
logistic_base,ticker,QQQ,0.5656401944894651,0.0012606929501765075,617,False,
logistic_base,ticker,SPY,0.5008077544426495,1.0,619,False,
logistic_base,ticker,TLT,0.4683954619124797,0.12599214194956404,617,False,
logistic_base,ticker,USO,0.5688816855753647,0.0007078739586212573,617,False,
logistic_base,ticker,XLB,0.6061588330632091,1.4999675203384303e-07,617,False,
logistic_base,ticker,XLC,0.5380875202593193,0.06395423790479676,617,False,
logistic_base,ticker,XLE,0.539708265802269,0.05322117131563737,617,False,
logistic_base,ticker,XLF,0.47811993517017826,0.2952223615548866,617,False,
logistic_base,ticker,XLI,0.5380875202593193,0.06395423790479676,617,False,
logistic_base,ticker,XLK,0.6094003241491086,6.112800781142919e-08,617,False,
logistic_base,ticker,XLP,0.5623987034035657,0.0021904305216823685,617,False,
logistic_base,ticker,XLRE,0.5348460291734197,0.09078311232911979,617,False,
logistic_base,ticker,XLU,0.5705024311183144,0.0005255123484288091,617,False,
logistic_base,ticker,XLV,0.580226904376013,7.712437876860432e-05,617,False,
logistic_base,ticker,XLY,0.47974068071312803,0.33394678177308557,617,False,
logistic_base,regime,crisis,0.5247813411078717,0.02596506430030181,2058,False,
logistic_base,regime,neutral,0.468918601923528,5.241013444692567e-05,4263,False,
logistic_base,regime,risk_off,0.5917460317460318,3.413311247912653e-13,1575,False,
logistic_base,regime,risk_on,0.5494106980961015,5.596076606583679e-11,4412,False,
logistic_regime,year,2023,0.44047619047619047,0.0006274609088784454,840,True,hit_rate < 0.45
logistic_regime,year,2024,0.5349584278155707,3.886934411257097e-07,5292,False,
logistic_regime,year,2025,0.5257142857142857,0.00020456870963014693,5250,False,
logistic_regime,year,2026,0.5313887127457197,0.013569347898278756,1577,False,
logistic_regime,ticker,DBA,0.5753646677471637,0.0002071004096660776,617,False,
logistic_regime,ticker,GLD,0.4538087520259319,0.02408807527767752,617,False,
logistic_regime,ticker,HYG,0.33063209076175043,2.782852638656569e-17,617,True,hit_rate < 0.45
logistic_regime,ticker,IEF,0.4538087520259319,0.02408807527767752,617,False,
logistic_regime,ticker,IWM,0.6223662884927067,1.292424070684805e-09,617,False,
logistic_regime,ticker,LQD,0.4586709886547812,0.04403521342401489,617,False,
logistic_regime,ticker,QQQ,0.5721231766612642,0.00038770499527201265,617,False,
logistic_regime,ticker,SPY,0.505654281098546,0.8094545884960996,619,False,
logistic_regime,ticker,TLT,0.48946515397082657,0.6290590742036524,617,False,
